imo,seaport_id
8210780,PGRAB
9643324,IRBND
9030462,TNSUS
8522391,NOOOS
7325100,ITPMA
7501352,
9448528,PTOPO
7420962,
1008554,USNYU
9736456,KWMZR
8664606,GUGUM
9330343,SGJUR
9205603,KRTGH
4734180,
9073751,TWKHH
8619895,
9160425,
8607062,RUMMK
8794695,
9324289,
9587532,SAJED
9923621,DJPOD
9800489,
9305908,ESCAS
9565584,
9780732,USHOU
9486582,PACTB
9573969,
8943399,
1032488,CNHUI
9171682,FRTRE
9912842,SEOEN
9336658,
9178355,SEGOX
9262936,ROSUL
9455612,AUDAM
9782259,
9424259,ESBIO
1020459,USMSY
9088770,TWKHH
9660023,AUPHE
8845470,
9460253,IDTBR
8007793,GBCHD
9850563,BRRIO
9411458,IDKUA
9056430,IDKUA
9844320,OMSOH
8017578,
9192026,ROSUL
9834179,GBHPT
9448798,CNSHA
9357793,CNQZH
1051305,KRYOS
9110559,USPEF
9480978,
9864239,FRLEH
9848003,IDTBR
9420162,
9581069,MXESE
9224764,
9787390,
9711731,CNLSN
9538127,FRAYW
9513086,TRHAY
9939058,KRUSN
9177765,ROCND
9123386,INVTZ
9549724,IDBPN
7022485,TMKRW
9324320,INMUN
9832107,JPTXD
9236767,FIVSN
9451769,INMUN
8617134,
8914233,CNZOS
8319469,
9631785,USPEF
8033431,LTKLJ
9418315,NZAKL
9489821,SNDKR
7307720,
9211470,VNHAP
9729685,SGJUR
8324696,
9681649,GRMYR
8977352,MXCME
9964065,FRAYW
8128078,
9088677,THBKK
9883493,KRUSN
8978239,NOOLD
8117251,IDKUA
9185889,CIABJ
9378101,NOOOS
9723588,CNZOS
9140695,
8638449,NOHAV
9722962,NOKOP
9485356,
9246009,NGONN
9228667,FRBOL
9636632,CVMIN
9387542,
9315381,CNSHK
8625466,IDSUB
9082934,SGJUR
9489481,RUVVO
9282508,GEBUS
8888329,
8214023,
8676788,AUSYD
9209570,JPSTS
9399442,USFOC
9265861,PGPOM
9355472,MXVER
9105994,NOREE
9609263,
8968442,USORF
9439278,GRPIR
9214068,VEJOT
9180140,IDKUA
6403424,
9760421,NLSCE
9436214,NLRTM
9339301,CNNGB
8861632,GBHTP
9504803,
1140194,RUPKC
9834040,PHCEB
9281669,
9965722,CNZAP
9568457,IDJPU
9647655,
9522659,SGJUR
6825696,SEOEN
9496666,MZMPM
9392547,ISBIL
9343340,USHOU
9948152,ESSAG
8944604,NLHAR
9523938,FRBAY
9536545,AEQWE
1027055,
8411918,
8690538,GRPIR
9763875,CNFAN
8980244,ITGZS
9093749,CNHHA
7028336,USZVB
9328821,
8118114,
7915838,USJAX
9403580,
7396460,
9667576,ZADUR
5198436,SEOER
9222170,IDCXP
9111175,NGLOS
9084279,MYLUM
9265354,ECLLD
9478535,
8851522,USLCH
9642473,
9317638,
7621487,
9318448,BRRIO
8704640,
9018385,
9915387,IDJPU
9146091,IDKUA
9561033,
7912214,GBBRX
7430345,IDKUA
8225656,
7405687,
8600193,
5255650,
9333759,MYKEM
9152868,IDKUA
9916575,
9203825,USGPT
9649330,
8611831,
9479670,
9563782,MXDBT
9423580,MXVER
8314706,IDSUB
9320544,ITGOA
8405282,
7924035,FRUSJ
9232448,
9627344,USYWD
8983143,USZVB
9959424,ECSLR
9629299,
1167269,
9817602,
9139995,SGJUR
7817361,
9699464,
9603312,CNXAM
1018676,CNNTG
1050698,AESHJ
9757072,
8229406,
8962448,USGLS
8530740,MTMAR
9762481,DZBJA
7642833,
9933286,ITLIV
8611221,RUKZP
9153109,SEOEN
9574561,INMUN
9940710,TWTXG
9552771,CNSHA
9573907,
9060211,GNKMC
9188570,USSAN
8739932,GWOXB
7927489,SEOEN
9179880,
8953629,
9182928,INBOM
8036940,
8122593,IDJPU
7340382,USNQV
1018755,JPKOJ
7714753,INBOM
9605009,
9044645,GBCHD
1001685,BEHSS
9692832,USHOU
8740096,
8403856,
9837054,IDPOT
9966051,JPKUH
1048061,IDWED
9730921,FRAYW
9923487,NOOOS
9301421,TRKAS
8103078,RUKGD
8006440,USDU3
9288277,MYTPP
9937969,KRICH
8600571,
9457244,VNVUT
9257632,
9316701,SEOEN
9373802,RUNJK
8906236,ITTAR
9060651,SGJUR
9809071,MYTPP
9286657,INBOM
8850956,
9444534,GBUCN
8858702,IRBAM
8775247,
9534999,AUHPT
9468786,KRKAN
9557628,
8980103,MYPEN
9684110,NLRTM
9577446,TRGEM
8662309,SEOEN
6823961,DOSDQ
8613774,SEOEN
9380817,JPMYJ
9500340,
7434808,
9537977,ESCAS
9458391,EGSCN
7932460,
9021253,
9828869,SGJUR
8109242,
9165944,NZTRG
7417496,TRNEM
5398048,BEOST
9295579,ROCND
7521091,
1001178,ESBCN
8626719,PHCEB
9308027,GHTEM
9290490,IDCXP
8504430,MMRGN
9429211,ITGOA
9208033,IDKUA
7531589,
1009792,ITLOA
9509956,SEVAG
9736482,IDBPN
8678126,IDBDJ
9181431,UYMVD
9946623,ITLOA
9525704,GBRBD
8787886,
7819187,IRBUZ
9938652,
9637296,FRIRK
9422093,
9294367,KRICH
9692791,BRSSZ
9810836,JPTYO
8619302,TWTXG
8580551,GRFNR
1045411,
9387437,VNSGN
8501737,
9058957,
9687849,CNSHP
9849368,PHOPO
9869605,SGJUR
9182291,
8905842,CNXIA
9752412,NLRTM
9923310,SNDKR
7730769,NLZWI
9189433,KRUSN
9718181,COBAL
9483580,
8764585,CNZOS
9612832,
8512970,IDKUA
9083902,VEGUA
9677789,
7377488,
8133114,GBHOM
9883182,SEGOX
9292228,
7431698,SEOEN
9732577,SAYNB
7515183,USPQM
8319988,CNQIN
7927879,ECLLD
9956575,FRTBE
7360368,PLNOW
7618026,
9382164,NOALF
8887557,
8742446,
9118472,NOFAN
8690370,PHNGT
9194737,
9030761,SEOEN
9443152,CNZOS
9731652,
9167526,
9964247,SGJUR
9413107,VNHAP
1114925,TWKHH
9787974,KRUSN
9093139,IDSZA
9953494,ITTRS
8100521,
9478298,EEAAK
9365257,
9136010,ITPMO
9001423,KRPUS
7719246,
9235696,MATNG
9154804,DEBRV
9005338,
9667198,QARLF
9627485,
5296795,NOREE
9784582,TRKAS
9588081,JPTYO
8757946,
8913681,CNHUN
1023152,SGJUR
7435149,FRSET
9259795,IDKUA
9487421,BJCOO
9441489,BRRIO
9481817,
8026074,TWKEL
8519502,CNNSA
9155406,IDKUA
9278260,
9208291,GBPME
9756183,JOAQJ
4904723,FRCEQ
8007511,
9134438,IRBUZ
9216406,EGSCN
8220395,
7235070,TRALI
9442392,BRSSZ
1019993,
9801990,JPTYO
9193111,
9702077,ARLPS
9714537,CNYKG
9411381,MUPLU
9590606,CNQIN
8851649,
9899648,TRCES
9179309,IDKUA
9129158,FRMRS
9106508,TRTUZ
9864746,
8857447,
9088782,IRBUZ
9139816,
8223452,IDKUA
6726436,CLPMC
8218689,
9666364,USPEF
8717025,RUKOR
9689483,BEATH
9499424,CIABJ
9585871,INBOM
8603418,
9689603,SGJUR
9523641,SEOEN
9810408,USNYU
9470466,LTKLJ
9505730,
9430545,NGANT
9184976,RUVVO
9489118,EELAO
9587635,USAXR
7602704,TRNEM
9418066,CNYPG
9420796,CIABJ
9592678,UAIZM
7904114,
9291200,
9379129,DJPOD
9175547,GBPAR
9802982,ESBIO
9591791,CNXSA
9247481,
1082586,VNHAP
8313087,NGLOS
9700172,AUPHE
8403911,CNZJG
9687514,
8711021,
9585663,MACAS
9872688,
9452579,MRNDB
9850599,THLCH
8432613,NLDHR
9946972,ARLPM
9351012,DEAQF
9462744,GBAVO
9767558,TRIZM
9739836,LTKLJ
9912115,BEBGK
8686020,TWKHH
9255189,SNDKR
9088512,PACTB
9931745,
7023087,NGLOS
9048512,SEOEN
8695423,
1015454,
9885233,CNZAP
7806934,
9057537,PGLAE
8770754,CNCFD
8991475,HROPA
9460693,GBPRU
9840013,NOREE
9475727,
9766243,NLIJM
9284362,PTAVE
9777802,AOLAD
9356414,FRAYW
9253753,ARBUE
1158452,USKDC
7731737,NGLOS
8986195,
8405000,IDKUA
9415662,TRDYL
9370616,
9820154,AUCVN
9588158,
9661089,
8914283,
9748021,CAVAN
7105706,
8648119,
9323352,TGLFW
9236274,TRTEK
9095503,GBSHO
1068322,
9743540,
9340738,NOFNN
9866548,INBOM
9048263,PHMNL
5342673,NOSKE
8213029,USFOC
9569815,IRKHO
6804305,
9751377,USMSY
9322267,
8911059,THMAT
9098402,MANDR
8020927,GRELE
1106033,
7718515,
9889447,GNBFA
5418381,
9588990,SGJUR
9191890,NOMAY
9416537,ECSLR
9416848,CNQIN
7914573,AUALH
9604081,CNQIN
9035228,CLCBC
8713744,ESCAD
9233454,INBOM
9142461,
9365180,NLDOR
8766064,
9797333,
6518528,
9704647,EGDMT
9142497,DERSK
9250414,SEOEN
8885432,
9870599,
9896440,
9083639,
9667332,AUGLT
1060954,VNVUT
7382653,
9376361,
7029043,USALC
8326060,
9883833,ARMDQ
9283514,CNDGY
7375375,
9001540,ARBUE
1033676,CNRZH
9528586,JPHBK
8603183,CNZOS
8119699,
7908677,
9227857,ROCND
8909604,ZACPT
8655667,NOREE
8212570,AZBAK
1092206,INJAK
8230479,SEKAF
7005267,
8754047,IDKUA
9788306,NGPHC
8751497,AESHJ
7914298,
9235000,RUKZP
9003732,
9555620,USFOC
9140085,
9737278,
8690502,IDTPN
7820954,
8033558,USORF
9555814,BRIOA
9983437,GBMED
8836924,
9371969,PGLAE
9536272,
7018575,
9108063,DZSKK
9921879,HKHKG
9127198,FRAYW
9099743,
8736112,IDKNL
9679634,ECMEC
9810044,INDMQ
9951745,CNNGB
7947506,
7330404,GBYMO
9684366,MEBAR
