imo,description,ship_type
9819301,Patrol Vessel,Military Ops
8771784,Drilling Jack Up,
9837133,Bulk Carrier,Cargo
9074729,General Cargo,Cargo
9677600,Tug,Tug
9703825,Bulk Carrier,Cargo
9629847,Cement Carrier,Cargo
9409479,Oil Products Tanker,Tanker
7222669,Salvage/Rescue Vessel,Tug
9950806,Container Ship,Cargo - Hazard D (Recognizable)
9241138,Tug,Tug
8865145,Research/Survey Vessel,Tug
8504090,Crude Oil Tanker,Tanker
9737967,Fishing Vessel,Fishing
9253533,Tug,Tug
9084229,Bulk Carrier,Cargo
9525601,General Cargo,Cargo
9112753,Oil/Chemical Tanker,Tanker
8629125,Ro-Ro/Passenger Ship,Passenger
9258179,Crude Oil Tanker,Tanker
7640562,General Cargo,Cargo
9586356,Bulk Carrier,Cargo
9209611,Tug,Tug
9423190,Multi Purpose Offshore Vessel,Cargo
9368601,General Cargo,Cargo
8806826,Chemical Tanker,Tanker
9870795,Fishing Vessel,Fishing
9574846,Bulk Carrier,Cargo
9355707,Ro-Ro/Passenger Ship,Passenger
9646766,Tug,Tug
6811932,Reefer,Cargo
9011038,Reefer,Other
9206437,Bulk Carrier,Cargo
9347308,Oil/Chemical Tanker,Tanker
9389112,Bulk Carrier,Cargo
8312760,Bulk Carrier,Cargo
1117238,Tug,Tug
8836651,Towing Vessel,Local Vessel
9992672,Vehicles Carrier,Cargo
9816361,General Cargo,Cargo
9352638,Fire Fighting Vessel,Tug
8870724,Passenger Ship,Passenger
9354698,Tug,Tug
9715191,Bulk Carrier,Cargo
9331751,Bulk Carrier,Cargo
8517138,Trawler,Fishing
8978320,Utility Vessel,Passenger
7831886,General Cargo,Cargo
1007691,Yacht,Other
9454486,Crude Oil Tanker,Tanker
8756588,Drilling Jack Up,Other
7125574,Work Vessel,Tug
8113592,General Cargo,Cargo
9222340,Bulk Carrier,Cargo
9784489,Fishing Vessel,Fishing
9086320,General Cargo,Cargo
1008358,Yacht,Pleasure Craft
9418078,Crude Oil Tanker,Tanker
8129462,Ro-Ro/Passenger Ship,Passenger
9159139,Fishing Vessel,Fishing
1098951,Bulk Carrier,Cargo
1038731,Oil/Chemical Tanker,Tanker
9000376,Reefer,Cargo
9959345,Pleasure Craft,Pleasure Craft
9826196,Yacht,Pleasure Craft
9477402,Multi Purpose Offshore Vessel,Cargo
9442861,Vehicles Carrier,Cargo
9005780,Chemical Tanker,Tanker
9195406,General Cargo,Cargo
1038884,Crude Oil Tanker,Tanker
9535058,Crude Oil Tanker,Tanker
9535553,Tug,Tug
9665231,Landing Craft,Other
9575589,Crude Oil Tanker,Tanker
9078529,Oil Products Tanker,Tanker
9999357,Bulk Carrier,Cargo
9990650,General Cargo,Cargo
9526435,Passenger Ship,Passenger
9286229,Crude Oil Tanker,Tanker
8720773,Asphalt/Bitumen Tanker,Tanker
7855296,Tug,Tug
8720785,Bulk Carrier,Cargo
8747733,Fishing Vessel,Fishing
5322465,Tender,Port Tender
9572379,Tug,Tug
9843754,Bulk Carrier,Cargo
9570474,Bulk Carrier,Cargo - Hazard B
9621211,Livestock Carrier,Cargo
5103223,Yacht,Passenger
9013098,Ro-Ro/Passenger Ship,Passenger
9338929,LNG Tanker,Tanker - Hazard A (Major)
9598751,Hopper Dredger,Cargo
9586368,Heavy Load Carrier,Cargo
9209116,Bulk Carrier,Cargo
8672574,Bulk Carrier,Cargo
9073000,General Cargo,Cargo
9836476,Bulk Carrier,Cargo
9297565,Ro-Ro/Passenger Ship,Cargo
9806055,Container Ship,Cargo
1081556,Chemical Tanker,Tanker
9935442,Bulk Carrier,Cargo
9466714,Oil/Chemical Tanker,Tanker
9295787,General Cargo,Cargo
9032173,Passenger Ship,Passenger
8410354,General Cargo,Cargo
8890853,General Cargo,Cargo
1023372,Bulk Carrier,Cargo
9171694,Trawler,Fishing
9470131,Crude Oil Tanker,Tanker
9424998,Tug,Reserved
9717797,Multi Purpose Offshore Vessel,Other
9358383,Bulk Carrier,Cargo
9121821,Tug,Other
8001787,Bulk Carrier,Cargo
9310238,Container Ship,Cargo - Hazard C (Minor)
8757611,Barge Carrier,Tug
8412144,Bulk Carrier,Cargo
9803338,General Cargo,Cargo
9310850,Oil Products Tanker,Tanker
9224336,Container Ship,Cargo - Hazard A (Major)
9536181,General Cargo,Cargo
9448085,Tug,Tug
9511595,Tug,Other
9144897,Tug,Tug
7053070,Tug,Tug
9889631,General Cargo,Cargo
9738246,LPG Tanker,Tanker
9511430,Bulk Carrier,Cargo
9524449,Crude Oil Tanker,Tanker
9248708,Container Ship,Cargo
8600090,Tug,Tug
7129726,Livestock Carrier,Cargo
9533517,General Cargo,Cargo
8003230,Fishing Vessel,Fishing
9677272,Chemical Tanker,Tanker
7366817,Multi Purpose Offshore Vessel,Other
4908937,Patrol Vessel,Unspecified
9841172,Bulk Carrier,Cargo
9087958,Training Ship,Other
9628403,Landing Craft,Cargo
9616486,Towing Vessel,Tug
9343443,Wood Chips Carrier,Cargo
9767869,Yacht,Pleasure Craft
1151399,Tug,Tug
9367372,Oil/Chemical Tanker,Tanker
9625994,Tug,Tug
9300283,Bulk Carrier,Cargo
8594887,General Cargo,Cargo
8118396,Reefer,Cargo
9494113,Bulk Carrier,Cargo
6609119,Tug,Tug
9629017,Multi Purpose Offshore Vessel,Other
8675899,Fishing Vessel,Fishing
9876593,Fish Factory,Fishing
9567415,Bulk Carrier,Cargo
8913447,Container Ship,Cargo
8113463,Suction Dredger,Dredger
7213400,Multi Purpose Offshore Vessel,Tug
9199907,Passenger Ship,Passenger
9822724,Container Ship,Cargo
9007116,Ro-Ro/Passenger Ship,Passenger
9354375,Container Ship,Cargo - Hazard A (Major)
9707807,Oil/Chemical Tanker,Tanker
9617454,Oil Products Tanker,Tanker
9923372,Bulk Carrier,Cargo
1102972,General Cargo,Cargo
9588861,Oil/Chemical Tanker,Tanker
8400385,Vehicles Carrier,Cargo
9658745,Trawler,Fishing
8770716,Offshore Supply Ship,Reserved
9715270,Bulk Carrier,Cargo
8959398,Work Pontoon,Cargo
8897411,Fishing Vessel,Fishing
9880817,Fishing Vessel,Fishing
9752735,Vehicles Carrier,Cargo
9766126,Crew Boat,Passenger
9476044,Tug,Other
7208948,Fishing Vessel,Fishing
9060376,High Speed Craft,High Speed Craft
8230728,Oil Products Tanker,Tanker
9083093,Ore Carrier,Cargo
8033106,Trawler,Fishing
9697557,Landing Craft,SAR Aircraft
9113616,Container Ship,Cargo
6820579,Container Ship,Cargo
8768282,Offshore Supply Ship,Other
9375707,Ore Carrier,Cargo
9972529,Bulk Carrier,Cargo
9719367,Bulk Carrier,Cargo
9443970,Multi Purpose Offshore Vessel,Tug
8851170,Pusher Tug,Tug
9063457,Fishing Vessel,Fishing
8883226,General Cargo,Cargo
9789350,Offshore Supply Ship,Other
8214188,Ro-Ro/Passenger Ship,Tanker
8222991,Reefer,Cargo
9734616,Landing Craft,Cargo
9804992,Cement Carrier,Cargo
9279965,Container Ship,Cargo - Hazard A (Major)
6723795,Tug,Tug
8223593,Vehicles Carrier,Cargo
9355721,General Cargo,Other
9630511,Bulk Carrier,Cargo
9460071,Container Ship,Cargo
9778753,Tender,Cargo
1093884,Tug,Tug
8872057,Tug,Tug
8213134,Tug/Supply Vessel,Tug
9453767,Bulk Carrier,Cargo
9899387,Tug,Tug
9523823,LPG/Chemical Tanker,Tanker - Hazard A (Major)
9802322,Bulk Carrier,Cargo
8741131,General Cargo,Cargo
8015192,Bulk Carrier,Cargo
8743892,Yacht,Pleasure Craft
9990533,LPG Tanker,Tanker
8604670,Fishing Vessel,Fishing
5238030,Tug,Tug
9112870,Chemical Tanker,Tanker - Hazard B
8943533,Oil Products Tanker,Tanker - Hazard B
9878084,Tug,Tug
9888479,Bulk Carrier,Cargo
9305427,Fishing Vessel,Fishing
9260055,Oil/Chemical Tanker,Tanker
9076478,General Cargo,Cargo
9144067,Crude Oil Tanker,Tanker
1060875,Tug,Tug
9256810,Trawler,Fishing
8106733,Bulk Carrier,Cargo
9540924,Oil Products Tanker,Tanker
9588146,Crude Oil Tanker,Tanker
9061241,Inland Ro-Ro Cargo Ship,Passenger
9054432,Tug,Tug
7645134,Bulk Carrier,Cargo
9734692,LPG Tanker,Tanker
6518475,General Cargo,Cargo
6514259,Tug,Tug
9117313,Bulk Carrier,Cargo
1021300,Bulk Carrier,Cargo
7421045,Passenger Ship,Passenger
8744327,Fire Fighting Vessel,Pleasure Craft
9486776,Standby Safety Vessel,Dive Vessel
9322308,Container Ship,Cargo
7502083,Fishing Vessel,Fishing
8795845,Fishing Vessel,Fishing
9406166,Crude Oil Tanker,Tanker
9641211,Yacht,Pleasure Craft
9517886,Crew Boat,Passenger
7366879,Multi Purpose Offshore Vessel,Other
8645129,Sailing Vessel,Sailing Vessel
8107103,Ro-Ro Cargo,Cargo
9312482,Vehicles Carrier,Cargo
9199634,Tug/Supply Vessel,SAR
