seaport_id,seaport_name,country_id,latitude,longitude
CNYTG,Yantai Pt,CN,37.55,121.4167
CNYTN,Yantian Pt,CN,26.85,119.8667
CNYIK,Yingkou Pt,CN,40.65,122.2167
CNLJY,Yingzai,CN,21.6167,110.2833
CNYIZ,Yizheng,CN,32.2667,119.1667
CNYFU,Yongfu,CN,24.9833,109.9833
CNYYA,Yueyang,CN,29.3667,113.1
CNYUH,Yuhuan,CN,28.1333,121.2333
CNYZU,Yuzhu,CN,23.1,113.4167
CNZJB,Zhangjiabian,CN,22.55,113.45
CNZJG,Zhangjiagang,CN,31.8667,120.5333
CNZGS,Zhangshan,CN,34.1167,118.3167
CNZGW,Zhangwan,CN,26.7,119.5833
CNZZU,Zhangzhou Pt,CN,24.5167,117.65
CNZNG,Zhanjiang Pt,CN,21.0833,110.5
CNZDO,Zhaodong,CN,46.0667,125.9833
CNZHG,Zhaogang,CN,32.55,116.6333
CNZQG,Zhaoqing Pt,CN,23.05,112.45
CNZPO,Zhapo,CN,21.5667,111.85
CNZPU,Zhapu Pt,CN,30.5833,121.0833
CNZEL,Zhelin,CN,23.5833,117.1
CNZPG,zhengpugang Pt,CN,31.6333,118.3833
CNZHE,Zhenjiang Pt,CN,32.1833,119.45
CNZSN,Zhongshan Pt,CN,22.5167,113.3667
CNZGT,Zhongtang,CN,23.0833,113.65
CNZHH,Zhuanghe Pt,CN,39.6833,122.9667
CNZUH,Zhuhai Pt,CN,22.2833,113.5667
CNZLO,Zhuliao,CN,23.3667,113.3333
CNTAO,Qingdao Port,CN,36.05,120.3333333
CNXMN,Port of Xiamen,CN,24.45,118.0333333
CNTSN,Port of Tianjin,CN,39.1,117.1666667
CNDLC,Port of Dalian,CN,38.9166667,121.6666667
CNHUA,Port of Huangpu,CN,23.0566,113.5281
CNFOC,Port of Fuzhou,CN,26.05,119.3
CNASW,Aoshanwei,CN,36.35,120.667
CNBAO,Baoshanmatou,CN,31.2131001,121.5063355
CNBAY,Bayuquan,CN,40.230636,122.107814
CNBEI,Beilun,CN,29.933,121.883
CNBEN,Benxi,CN,41.28333,123.75
CNCAN,Guangzhou,CN,23.12911,113.264385
CNCDE,Changde,CN,29.01667,111.66667
CNCGU,Changshu,CN,31.7666,120.95
CNCIV,Civet / Guandong,CN,22.267,113.067
CNCMG,Chongming,CN,31.63333,121.38333
CNDAG,Dalian Pt,CN,38.926984,121.654095
CNDCD,Dachendao,CN,28.45,121.8666667
CNDDG,Dandong,CN,40.000787,124.354451
CNDFE,Dafeng,CN,32.48333,120.0
CNDGY,Dongying,CN,37.45,118.48333
CNDJA,Dongjiakou,CN,35.6,119.767
CNDLP,Daliangang,CN,38.9,121.6
CNDOO,Dongjiangkou,CN,33.63333,108.63333
CNDOP,Donglian Port,CN,23.25,115.017
CNDQD,Daqindao,CN,36.067117,120.382612
CNDSN,Dongshan Pt,CN,23.701262,117.430061
CNDXG,Dalian Pt,CN,38.8828623,121.5278118
CNFCE,Fengcheng,CN,36.7,121.23333
CNFOS,Foshan,CN,23.03333,113.1
CNFZP,Fuzhou Pt,CN,25.974642,119.509221
CNGAS,Gaosha,CN,23.28333,115.66667
CNGTE,Yingde,CN,24.18333,113.4
CNGUT,Guangdong Terminal,CN,22.567,114.433
CNGZG,Guangzhou Pt,CN,23.114346,113.281455
CNGZP,Guangzhou Pt,CN,23.1576366,113.4110535
CNHAP,Huangpo,CN,31.231763,121.484443
CNHAS,Heshan,CN,23.810227,108.8868
CNHHA,Huanghua,CN,38.36667,117.35
CNHHT,Haitian Terminal/ Xiamen,CN,27.1,120.3
CNHMP,Haimen Pt,CN,31.8195372,121.1249149
CNHOP,Huangpu Old Port,CN,23.1,113.41667
CNHSK,Huangsangkou,CN,30.007232,115.336359
CNHXD,Huangxingdao,CN,30.199378,122.644701
CNJXN,Jiao Xin,CN,22.705124,113.316811
CNLZU,Luzhou,CN,28.88333,105.45
CNMAJ,Majistan/Zhoushan,CN,30.017,122.1
CNMBI,Mabian Island,CN,23.117,115.083
CNMOG,Maogang,CN,23.05,112.733
CNMSH,Meisha,CN,41.304958,123.776572
CNMSN,Meishan,CN,30.07544,103.848538
CNNEG,Neigang,CN,23.1,113.417
CNNHS,Sanshan pt,CN,23.035339,113.226513
CNNJP,Nanjing Pt,CN,32.0750616,118.7706532
CNNKG,Nanjing,CN,32.2125,118.812
CNPLA,Penglai,CN,37.8,120.75
CNQDG,Qingdao Pt,CN,36.014189,120.20202
CNQHE,Qinghe,CN,37.0399299,115.66718
CNQPU,Qingpu,CN,31.15,121.1
CNQZH,Qinzhou,CN,21.979933,108.654146
CNRIA,Ruian,CN,27.778657,120.655148
CNSBU,Sanbu Pt,CN,22.3666,112.7166
CNSHC,Shacheng,CN,26.314775,116.346995
CNSHG,Shanghai Pt,CN,31.366365,121.61475
CNSHQ,Shiqi,CN,34.414172,115.65637
CNSIN,Shatian,CN,24.0,113.88333
CNSJI,Sanjiang,CN,30.7166667,122.4833333
CNSNW,Shenwan,CN,22.302496,113.363816
CNSTP,Shantou Pt,CN,23.302822,116.774468
CNSUN,Shunyi,CN,40.11667,116.63333
CNSZP,Shenzhen Pt,CN,22.4760219,113.9127408
CNSZX,Shenzhen,CN,22.543096,114.057865
CNTAG,Taicang,CN,31.43333,121.08333
CNTGU,Tanggu,CN,39.029528,117.661226
CNTIZ,Taizhou,CN,32.455778,119.923116
CNTJP,Tianjin Pt,CN,38.982173,117.746172
CNWAI,Waihai,CN,22.58333,113.13333
CNWFG,Weifang,CN,36.706774,119.161756
CNWGQ,Waigaoqiao Pt,CN,31.3510027,121.5850272
CNWNZ,Wenzhou,CN,27.9110235,120.8554106
CNWUC,Wu Chong Kou,CN,23.083,113.417
CNWUH,Wuhan,CN,30.580882,114.29635
CNWUO,Wuzhou,CN,23.476963,111.279115
CNWUP,Wuhan Pt,CN,30.4969304,114.3939601
CNXCG,Xichong Pt,CN,30.995032,105.900818
CNXFN,Xiangfan,CN,32.01667,112.15
CNXGG,Xingang,CN,38.98333,117.48333
CNXHK,Xinhekou,CN,20.028061,110.309418
CNXHO,Xiaohudao,CN,23.083,113.433
CNXIU,Xiuyu,CN,25.25,119.03333
CNXIZ,Xiangzhou,CN,22.265811,113.543785
CNXMP,Xiamen Pt,CN,24.356536,118.206734
CNXSA,Guangzhou,CN,23.1,113.25
CNXXY,Xiangyu Terminal/ Xiamen,CN,27.1,120.317
CNYAN,Yangshan Port,CN,30.61667,122.05
CNYBN,Yibin,CN,28.76667,104.56667
CNYCG,Yichang Pt,CN,30.691966,111.286471
CNYGN,Yongan,CN,25.941937,117.365053
CNYGS,Yangshan,CN,24.466675,112.626495
CNYIB,Yibin,CN,28.753105,104.642964
CNYNT,Yantai,CN,37.539058,121.368981
